Instrukcja działania AI — wersja po uporządkowaniu biblioteki scenariuszy;;;;;;;
krok;nazwa_kroku;opis;arkusz_zrodlowy;wynik_kroku;status;funkcja_w_kodzie;uwagi
1;Wczytanie dokumentów użytkownika;Aplikacja przyjmuje dokumenty użytkownika. Na obecnym etapie użytkownik może potwierdzić lub skorygować typ dokumentu i dane z formularza.;UI / formularz użytkownika;zestaw danych wejściowych;TAK;upload + formularz;OCR i automatyczne rozdzielanie wielu dokumentów pozostają etapem późniejszym.
2;Ustalenie dokumentu wymagającego reakcji;Jeżeli dokumentów jest kilka, aplikacja powinna wskazać dokument najważniejszy procesowo. Obecnie wybór jest wspierany regułami i potwierdzeniem użytkownika.;"2_Reguly_wyboru_dok_glownego; 2A; 2B; 2C";main_document_type_code;CZĘŚCIOWO;"document_type_from_k1(); formularz użytkownika";Docelowo reguły będą zasilane odczytem OCR/AI z wielu dokumentów.
3;Ustalenie EPU / e-Sądu;Jeżeli sprawa pochodzi z EPU/e-Sądu, typ dokumentu musi być rozróżniony osobno dla pozwu i nakazu oraz dla spółki i członka zarządu.;"3_Typy_dokumentów; Blok_EPU";epu_flag + właściwy typ EPU;TAK;"document_type_from_k1(); read_epu_block()";Nie wolno ograniczać EPU wyłącznie do nakazu przeciwko członkowi zarządu.
4;Ustalenie czasu na reakcję;Jeżeli znana jest data doręczenia i termin z pouczenia, aplikacja oblicza konkretną liczbę dni. Jeżeli nie, użytkownik wybiera przedział.;4_Formularz_6_krokow;K2_answer_code oraz opcjonalnie days_left;TAK;"calculate_days_left(); k2_from_days_left(); user_deadline_message()";Konkretna liczba dni ma pierwszeństwo przed ogólnym przedziałem.
5;Wypełnienie K3–K6;Użytkownik wybiera: zakres wsparcia, status w zarządzie, status wpisu w KRS i cel. Te odpowiedzi nie wybierają scenariusza bazowego, tylko doprecyzowują wynik.;"4_Formularz_6_krokow; 6A_Moduly_K3_K6";kody K3–K6 + właściwe moduły tekstowe;TAK;module lookup dla K3–K6;To eliminuje sprzeczności typu BOARD_ACTIVE przy wskazanej rezygnacji.
6;Punktacja C/P/H/W;Aplikacja oblicza punkty C, P, H i W według odpowiedzi z formularza. Kategoria W oznacza wartość roszczenia i pochodzi z K7.;"5_Punktacja_formularza; 6Q_Reguly_kwoty_roszczenia";S = C + P + H + W;TAK;get_points_for_codes();Wysoka kwota może podnieść poziom ryzyka, ale musi być interpretowana kontekstowo: inaczej przy dokumencie członka zarządu, inaczej przy dokumencie spółki i inaczej przy dokumencie nieustalonym.
7;Interpretacja poziomu ryzyka;Aplikacja przypisuje poziom ryzyka na podstawie punktacji i progów interpretacji.;5A_Interpretacja_wyniku;risk_level_code;TAK;interpret_risk();Kod techniczny risk_level_code nie może być widoczny dla użytkownika.
8;Twarde reguły;Aplikacja stosuje reguły, które mogą podnieść minimalny poziom ryzyka lub dodać ostrzeżenie.;5B_Twarde_reguly;ostateczny poziom ryzyka + ostrzeżenia;TAK;apply_hard_rules_from_excel();Kody HR mogą być widoczne wyłącznie w panelu testowym.
9;Wybór scenariusza bazowego;Aplikacja wybiera ramę scenariusza po: main_document_type_code, epu_flag, K1, K2 i risk_level_code. K3–K6 nie są warunkiem wyboru scenariusza bazowego.;6_Biblioteka_scenariuszy;scenario_id_base;TAK;find_matching_scenarios();W panelu testowym należy pisać „scenariusz bazowy”, nie „pełny scenariusz”.
10;Dołączenie modułów K3–K6;Do wyniku dodawane są fragmenty z arkusza 6A_Moduly_K3_K6 zgodne z odpowiedziami użytkownika.;6A_Moduly_K3_K6;spersonalizowane akapity;TAK;build_scenario_based_assessment();Moduły nie mogą pokazywać użytkownikowi kodów K3–K6.
11;Zbudowanie końcowej oceny;Końcowa ocena jest jedną spójną wypowiedzią dla użytkownika: dokument, pilność, termin, status zarządu/KRS, cel i następny krok.;"6_Biblioteka_scenariuszy; 6A_Moduly_K3_K6; 5B; Blok_EPU";Ocena ryzyka prawnego;TAK;build_scenario_based_assessment();Nie wolno ujawniać: scenariuszy, modułów, risk_level_code, HRxx ani mechaniki działania.
12;Panel testowy;Panel testowy pokazuje kody odpowiedzi, punktację, reguły, scenariusz bazowy i diagnostykę dopasowania.;"11_Zgodnosc_instrukcji_z_kodem; 14_Kontrola_jakosci";diagnostyka techniczna;TAK;tryb testowy;To jedyne miejsce dla informacji technicznych.
13;CTA do Audytu 48h;Ocena kończy się spokojną rekomendacją kolejnego kroku, zależną od pilności i braków w danych.;"6A_Moduly_K3_K6; 9_Instrukcja_dla_AI";rekomendowany kolejny krok;TAK;next_step_module_text();CTA nie powinno być nachalne ani straszące.
14;Zastrzeżenie prawne;Wynik musi jasno wskazywać, że jest orientacyjny i nie zastępuje porady prawnej ani analizy dokumentów.;9_Instrukcja_dla_AI;zastrzeżenie prawne;TAK;sekcja zastrzeżenia;Zastrzeżenie ma być widoczne w wyniku użytkownika.
